Time,Signal
2024-05-24 19:07:06.787191,1
2024-05-24 19:07:06.794753,0
2024-05-24 19:07:06.803333,0
2024-05-24 19:07:06.811466,0
2024-05-24 19:07:06.819784,1
2024-05-24 19:07:06.828274,1
2024-05-24 19:07:06.835956,1
2024-05-24 19:07:06.844744,1
2024-05-24 19:07:06.857828,0
2024-05-24 19:07:06.865408,0
2024-05-24 19:07:06.874020,0
2024-05-24 19:07:06.883235,1
2024-05-24 19:07:06.891038,1
2024-05-24 19:07:06.900577,1
2024-05-24 19:07:06.912581,1
2024-05-24 19:07:06.920260,0
2024-05-24 19:07:06.928681,0
2024-05-24 19:07:06.936563,0
2024-05-24 19:07:06.944879,0
2024-05-24 19:07:06.952909,1
2024-05-24 19:07:06.961436,1
2024-05-24 19:07:06.969794,1
2024-05-24 19:07:06.978296,0
2024-05-24 19:07:06.986112,0
2024-05-24 19:07:06.995223,0
2024-05-24 19:07:07.002873,0
2024-05-24 19:07:07.011911,1
2024-05-24 19:07:07.019940,1
2024-05-24 19:07:07.028334,1
2024-05-24 19:07:07.037410,1
2024-05-24 19:07:07.045722,0
2024-05-24 19:07:07.053446,0
2024-05-24 19:07:07.062848,0
2024-05-24 19:07:07.078330,0
2024-05-24 19:07:07.087775,1
2024-05-24 19:07:07.096330,1
2024-05-24 19:07:07.104884,1
2024-05-24 19:07:07.112646,0
2024-05-24 19:07:07.120560,0
2024-05-24 19:07:07.129232,0
2024-05-24 19:07:07.137531,0
2024-05-24 19:07:07.145241,1
2024-05-24 19:07:07.153779,1
2024-05-24 19:07:07.162412,1
2024-05-24 19:07:07.176315,0
2024-05-24 19:07:07.185859,0
2024-05-24 19:07:07.195210,0
2024-05-24 19:07:07.203737,0
2024-05-24 19:07:07.211539,1
2024-05-24 19:07:07.220903,1
2024-05-24 19:07:07.229011,1
2024-05-24 19:07:07.237285,0
2024-05-24 19:07:07.244889,0
2024-05-24 19:07:07.253802,0
2024-05-24 19:07:07.261602,0
2024-05-24 19:07:07.269890,1
2024-05-24 19:07:07.282763,1
2024-05-24 19:07:07.290879,1
2024-05-24 19:07:07.299863,0
2024-05-24 19:07:07.307875,0
2024-05-24 19:07:07.316601,0
2024-05-24 19:07:07.324049,0
2024-05-24 19:07:07.332040,1
2024-05-24 19:07:07.341467,1
2024-05-24 19:07:07.349686,1
2024-05-24 19:07:07.358268,0
2024-05-24 19:07:07.365774,0
2024-05-24 19:07:07.374022,0
2024-05-24 19:07:07.382751,0
2024-05-24 19:07:07.390520,1
2024-05-24 19:07:07.400040,1
2024-05-24 19:07:07.408245,1
2024-05-24 19:07:07.416457,1
2024-05-24 19:07:07.429032,0
2024-05-24 19:07:07.438357,0
2024-05-24 19:07:07.449047,0
2024-05-24 19:07:07.459992,1
2024-05-24 19:07:07.470229,1
2024-05-24 19:07:07.478559,1
2024-05-24 19:07:07.485804,1
2024-05-24 19:07:07.495466,0
2024-05-24 19:07:07.503834,0
2024-05-24 19:07:07.511647,0
2024-05-24 19:07:07.519721,1
2024-05-24 19:07:07.528503,1
2024-05-24 19:07:07.535814,1
2024-05-24 19:07:07.544438,1
2024-05-24 19:07:07.552902,0
2024-05-24 19:07:07.560891,0
2024-05-24 19:07:07.569382,0
2024-05-24 19:07:07.578279,1
2024-05-24 19:07:07.586450,1
2024-05-24 19:07:07.594618,1
2024-05-24 19:07:07.604175,1
2024-05-24 19:07:07.615986,0
2024-05-24 19:07:07.624143,0
2024-05-24 19:07:07.632721,0
2024-05-24 19:07:07.641048,1
2024-05-24 19:07:07.648800,1
2024-05-24 19:07:07.658279,1
2024-05-24 19:07:07.665553,1
2024-05-24 19:07:07.674724,0
2024-05-24 19:07:07.683470,0
2024-05-24 19:07:07.691528,0
2024-05-24 19:07:07.700050,1
2024-05-24 19:07:07.708097,1
2024-05-24 19:07:07.716618,1
2024-05-24 19:07:07.725064,1
2024-05-24 19:07:07.733357,0
2024-05-24 19:07:07.740855,0
2024-05-24 19:07:07.748707,0
2024-05-24 19:07:07.758258,0
2024-05-24 19:07:07.765688,1
2024-05-24 19:07:07.774758,1
2024-05-24 19:07:07.783045,1
2024-05-24 19:07:07.790622,0
2024-05-24 19:07:07.798412,0
2024-05-24 19:07:07.807662,0
2024-05-24 19:07:07.815633,0
2024-05-24 19:07:07.824642,1
2024-05-24 19:07:07.833216,1
2024-05-24 19:07:07.841322,1
2024-05-24 19:07:07.849402,1
2024-05-24 19:07:07.857628,0
2024-05-24 19:07:07.865910,0
2024-05-24 19:07:07.874046,0
2024-05-24 19:07:07.883067,0
2024-05-24 19:07:07.890914,1
2024-05-24 19:07:07.899563,1
2024-05-24 19:07:07.907529,1
2024-05-24 19:07:07.915707,0
2024-05-24 19:07:07.924857,0
2024-05-24 19:07:07.932983,0
2024-05-24 19:07:07.941258,0
2024-05-24 19:07:07.949944,1
2024-05-24 19:07:07.958265,1
2024-05-24 19:07:07.965995,1
2024-05-24 19:07:07.974229,0
2024-05-24 19:07:07.982481,0
2024-05-24 19:07:07.990755,0
2024-05-24 19:07:07.999049,0
2024-05-24 19:07:08.008356,1
2024-05-24 19:07:08.016086,1
2024-05-24 19:07:08.029681,1
2024-05-24 19:07:08.041537,0
2024-05-24 19:07:08.052872,0
2024-05-24 19:07:08.061595,0
2024-05-24 19:07:08.070341,0
2024-05-24 19:07:08.078562,1
2024-05-24 19:07:08.087302,1
2024-05-24 19:07:08.095704,1
2024-05-24 19:07:08.104150,0
2024-05-24 19:07:08.111829,0
2024-05-24 19:07:08.119501,0
2024-05-24 19:07:08.129215,0
2024-05-24 19:07:08.136426,1
2024-05-24 19:07:08.144710,1
2024-05-24 19:07:08.153032,1
2024-05-24 19:07:08.161567,0
2024-05-24 19:07:08.170477,0
2024-05-24 19:07:08.178296,0
2024-05-24 19:07:08.186944,0
2024-05-24 19:07:08.194872,1
2024-05-24 19:07:08.203614,1
2024-05-24 19:07:08.211830,1
2024-05-24 19:07:08.220467,1
2024-05-24 19:07:08.228737,0
2024-05-24 19:07:08.236643,0
2024-05-24 19:07:08.245511,0
2024-05-24 19:07:08.253736,1
2024-05-24 19:07:08.261763,1
2024-05-24 19:07:08.270645,1
2024-05-24 19:07:08.283014,1
2024-05-24 19:07:08.291150,0
2024-05-24 19:07:08.298669,0
2024-05-24 19:07:08.307571,0
2024-05-24 19:07:08.315717,1
2024-05-24 19:07:08.327443,1
2024-05-24 19:07:08.335779,1
2024-05-24 19:07:08.346512,1
2024-05-24 19:07:08.357651,0
2024-05-24 19:07:08.365658,0
2024-05-24 19:07:08.374792,0
2024-05-24 19:07:08.382623,1
2024-05-24 19:07:08.390709,1
2024-05-24 19:07:08.400032,1
2024-05-24 19:07:08.408523,1
2024-05-24 19:07:08.415870,0
2024-05-24 19:07:08.423712,0
2024-05-24 19:07:08.432363,0
2024-05-24 19:07:08.441191,1
2024-05-24 19:07:08.449886,1
2024-05-24 19:07:08.457631,1
2024-05-24 19:07:08.467741,1
2024-05-24 19:07:08.483343,0
2024-05-24 19:07:08.490511,0
2024-05-24 19:07:08.498603,0
2024-05-24 19:07:08.508251,1
2024-05-24 19:07:08.516993,1
2024-05-24 19:07:08.528325,1
2024-05-24 19:07:08.541405,1
2024-05-24 19:07:08.549883,0
2024-05-24 19:07:08.557381,0
2024-05-24 19:07:08.566456,0
2024-05-24 19:07:08.574128,0
2024-05-24 19:07:08.582447,1
2024-05-24 19:07:08.591790,1
2024-05-24 19:07:08.598843,1
2024-05-24 19:07:08.607759,0
2024-05-24 19:07:08.616052,0
2024-05-24 19:07:08.624122,0
2024-05-24 19:07:08.632893,0
2024-05-24 19:07:08.641417,1
2024-05-24 19:07:08.650018,1
2024-05-24 19:07:08.657611,1
2024-05-24 19:07:08.666362,1
2024-05-24 19:07:08.674716,0
2024-05-24 19:07:08.683187,0
2024-05-24 19:07:08.691740,0
2024-05-24 19:07:08.699425,0
2024-05-24 19:07:08.708676,1
2024-05-24 19:07:08.720867,1
2024-05-24 19:07:08.728690,1
2024-05-24 19:07:08.737599,0
2024-05-24 19:07:08.745335,0
2024-05-24 19:07:08.754045,0
2024-05-24 19:07:08.761183,0
2024-05-24 19:07:08.769473,1
2024-05-24 19:07:08.778742,1
2024-05-24 19:07:08.787303,1
2024-05-24 19:07:08.795640,0
2024-05-24 19:07:08.808517,0
2024-05-24 19:07:08.816214,0
2024-05-24 19:07:08.824464,0
2024-05-24 19:07:08.834289,1
2024-05-24 19:07:08.847569,1
2024-05-24 19:07:08.862711,1
2024-05-24 19:07:08.874727,0
2024-05-24 19:07:08.883233,0
2024-05-24 19:07:08.890790,0
2024-05-24 19:07:08.900369,0
2024-05-24 19:07:08.908984,1
2024-05-24 19:07:08.925698,1
2024-05-24 19:07:08.938383,1
2024-05-24 19:07:08.954954,0
2024-05-24 19:07:08.966602,0
2024-05-24 19:07:08.975974,0
2024-05-24 19:07:08.987112,0
2024-05-24 19:07:08.995057,1
2024-05-24 19:07:09.003502,1
2024-05-24 19:07:09.012621,1
2024-05-24 19:07:09.021423,0
2024-05-24 19:07:09.031805,0
2024-05-24 19:07:09.040807,0
2024-05-24 19:07:09.049505,0
2024-05-24 19:07:09.057842,1
2024-05-24 19:07:09.065781,1
2024-05-24 19:07:09.074070,1
2024-05-24 19:07:09.082187,1
2024-05-24 19:07:09.090956,0
2024-05-24 19:07:09.099304,0
2024-05-24 19:07:09.107894,0
2024-05-24 19:07:09.116422,1
2024-05-24 19:07:09.124717,1
2024-05-24 19:07:09.131706,1
2024-05-24 19:07:09.141499,1
2024-05-24 19:07:09.150206,0
2024-05-24 19:07:09.157291,0
